iter	timestamp	latency_ms	ncu_us	status
1	2026-04-24T21:41:07+0900	0.015814	31.97	ok
2	2026-04-24T21:56:02+0900	0.015814	31.97	ok
3	2026-04-24T22:17:29+0900	0.015814	31.97	ok
4	2026-04-24T22:31:28+0900	0.029683	31.97	ok
5	2026-04-24T22:44:10+0900	0.025462	31.97	ok
6	2026-04-24T23:13:41+0900	0.016806	31.46	ok
7	2026-04-24T23:25:20+0900	0.016806	31.46	ok
8	2026-04-24T23:25:35+0900	-	-	plan_session_fail
9	2026-04-24T23:26:00+0900	-	-	plan_session_fail
10	2026-04-24T23:26:24+0900	-	-	plan_session_fail
1	2026-04-24T23:30:41+0900	-	-	plan_session_fail
2	2026-04-24T23:31:09+0900	-	-	plan_session_fail
3	2026-04-24T23:31:32+0900	-	-	plan_session_fail
